iter	RMSE
0	13112.22941
1	12763.42396
2	12405.61844
3	12067.39416
4	11727.70209
5	11410.16658
6	11108.0863
7	10820.42833
8	10545.07198
9	10299.50642
10	10029.8482
11	9758.672393
12	9498.277544
13	9247.126869
14	9029.200666
15	8814.168948
16	8603.535648
17	8409.468392
18	8215.482254
19	8010.919218
20	7819.469046
21	7638.553574
22	7468.049698
23	7294.397401
24	7136.219435
25	6977.155538
26	6813.327052
27	6657.849075
28	6510.782935
29	6372.237383
30	6229.682546
31	6100.569117
32	5960.408799
33	5842.105911
34	5722.307136
35	5610.779752
36	5500.874007
37	5401.345186
38	5300.327801
39	5207.654082
40	5107.904291
41	5029.152619
42	4945.282385
43	4868.224429
44	4787.122243
45	4717.604867
46	4644.281365
47	4572.110482
48	4506.962713
49	4442.050097
50	4383.6551
51	4321.150523
52	4264.304398
53	4204.280166
54	4151.544757
55	4105.960512
56	4045.584236
57	4000.227071
58	3951.154236
59	3904.975546
60	3859.081378
61	3806.18202
62	3764.378768
63	3723.914865
64	3686.800654
65	3649.411319
66	3612.908825
67	3578.60808
68	3537.829893
69	3496.969847
70	3458.699083
71	3430.025184
72	3396.667697
73	3368.037442
74	3337.06595
75	3298.122048
76	3272.157719
77	3237.044678
78	3209.314428
79	3182.996163
80	3151.60308
81	3130.247465
82	3101.489196
83	3071.055447
84	3046.044192
85	3018.463623
86	2997.926067
87	2974.308492
88	2953.330334
89	2933.439457
90	2910.934081
91	2895.539574
92	2872.720837
93	2852.443871
94	2828.227106
95	2806.844911
96	2785.730127
97	2770.450712
98	2755.641631
99	2737.625575
100	2719.466304
101	2700.735769
102	2675.569139
103	2662.477399
104	2649.440902
105	2632.821302
106	2619.61028
107	2607.911917
108	2591.088224
109	2576.187206
110	2559.228697
111	2543.37163
112	2526.856494
113	2515.473859
114	2505.770257
115	2492.230923
116	2475.532425
117	2465.719913
118	2453.598441
119	2439.076247
120	2425.095241
121	2414.100482
122	2401.090234
123	2387.293387
124	2373.548941
125	2363.834622
126	2350.889833
127	2339.182819
128	2327.90259
129	2315.533118
130	2301.256083
131	2292.663766
132	2283.418744
133	2273.259791
134	2262.508576
135	2251.024804
136	2239.120073
137	2231.286795
138	2224.472933
139	2217.523593
140	2208.398713
141	2202.453561
142	2193.468301
143	2183.111115
144	2172.945239
145	2162.689629
146	2153.611555
147	2143.127654
148	2134.085483
149	2123.248889
150	2114.305872
151	2103.751427
152	2093.744941
153	2086.829385
154	2074.706834
155	2067.161782
156	2059.000586
157	2052.364275
158	2045.705749
159	2037.273388
160	2030.024947
161	2015.737104
162	2004.986948
163	1996.086073
164	1990.346338
165	1979.777025
166	1969.536933
167	1960.296197
168	1953.463489
169	1946.942195
170	1939.517125
171	1934.957382
172	1927.836911
173	1920.518734
174	1914.400724
175	1907.351787
176	1901.444178
177	1893.038932
178	1886.810687
179	1880.64451
180	1870.795276
181	1861.819723
182	1855.195699
183	1848.224818
184	1839.816967
185	1833.311641
186	1828.087645
187	1822.26875
188	1817.520197
189	1812.408951
190	1805.786927
191	1800.31051
192	1791.647323
193	1785.90647
194	1780.82166
195	1776.522963
196	1770.649777
197	1763.698494
198	1758.910769
199	1754.278913
200	1748.066448
201	1743.488934
202	1740.755092
203	1734.801016
204	1723.577343
205	1717.65821
206	1711.835146
207	1705.083646
208	1700.523134
209	1696.453697
210	1691.898052
211	1685.484011
212	1680.876548
213	1674.651502
214	1671.11509
215	1664.282828
216	1657.999071
217	1649.178145
218	1644.658637
219	1638.340523
220	1632.406457
221	1630.072504
222	1624.637226
223	1621.199503
224	1615.504261
225	1610.670196
226	1606.481305
227	1602.320668
228	1596.597001
229	1591.666682
230	1589.11614
231	1585.558806
232	1582.713609
233	1580.829521
234	1578.640021
235	1575.870518
236	1571.092665
237	1560.367034
238	1558.44706
239	1550.597799
240	1546.05933
241	1540.555668
242	1539.18595
243	1533.401123
244	1529.929678
245	1527.126647
246	1525.261863
247	1519.22319
248	1508.772432
249	1503.427627
250	1501.905517
251	1495.731209
252	1487.441736
253	1479.14155
254	1477.1016
255	1472.117697
256	1467.786675
257	1465.773531
258	1463.056771
259	1456.673584
260	1452.811318
261	1447.902478
262	1440.369192
263	1435.638693
264	1430.173852
265	1426.950943
266	1422.924974
267	1419.032642
268	1416.527108
269	1411.426257
270	1407.172996
271	1400.270117
272	1398.716189
273	1397.324294
274	1393.557331
275	1390.174377
276	1383.360339
277	1380.01238
278	1375.103721
279	1369.53765
280	1365.57678
281	1359.996452
282	1356.878079
283	1354.801203
284	1348.264853
285	1342.839277
286	1341.689748
287	1337.67213
288	1329.354865
289	1325.529868
290	1322.448087
291	1318.932027
292	1317.790284
293	1314.401762
294	1313.145626
295	1309.677192
296	1305.923231
297	1302.74545
298	1296.510581
299	1293.730512
300	1290.380592
301	1286.348612
302	1285.848266
303	1284.642011
304	1281.490705
305	1279.752576
306	1277.0986
307	1276.099591
308	1275.245767
309	1271.818359
310	1268.898708
311	1267.623329
312	1262.717839
313	1255.476334
314	1251.47889
315	1244.466572
316	1240.324156
317	1239.418963
318	1236.759113
319	1236.413533
320	1235.603876
321	1233.213963
322	1232.006981
323	1230.988232
324	1227.937282
325	1222.562086
326	1219.587227
327	1217.461882
328	1212.739736
329	1211.621575
330	1209.280527
331	1206.731205
332	1204.370372
333	1202.021177
334	1201.284546
335	1197.925481
336	1197.624009
337	1197.301495
338	1196.978734
339	1192.757461
340	1188.407859
341	1186.103467
342	1182.668778
343	1180.144965
344	1177.471859
345	1175.028354
346	1174.169331
347	1170.246507
348	1169.94574
349	1167.404222
350	1164.589046
351	1159.124712
352	1157.516985
353	1153.809206
354	1150.711102
355	1146.898941
356	1146.644994
357	1143.495964
358	1142.680352
359	1137.579439
360	1135.074539
361	1133.115895
362	1130.771479
363	1129.158349
364	1128.333302
365	1126.954912
366	1125.222508
367	1123.364276
368	1119.190011
369	1116.83484
370	1114.151709
371	1113.454057
372	1111.823995
373	1110.217868
374	1107.290704
375	1106.026533
376	1104.440595
377	1098.892565
378	1097.046968
379	1095.220186
380	1091.459881
381	1091.261516
382	1090.645797
383	1088.803423
384	1086.780413
385	1085.034748
386	1084.417655
387	1083.136676
388	1079.545184
389	1077.888551
390	1075.318679
391	1069.633595
392	1068.711488
393	1064.962494
394	1062.415708
395	1059.593647
396	1058.156017
397	1056.853368
398	1055.026563
399	1054.305477
400	1051.899561
401	1051.457014
402	1048.830068
403	1046.810566
404	1045.496733
405	1042.645398
406	1040.885357
407	1039.243578
408	1038.142653
409	1036.461187
410	1031.709545
411	1031.16031
412	1027.295362
413	1026.490578
414	1023.766212
415	1022.082284
416	1019.238242
