iter	Passed	Remaining
0	57	57876
1	58	29188
2	58	19606
3	59	14826
4	60	11945
5	60	10028
6	61	8688
7	61	7662
8	62	6868
9	62	6224
10	63	5751
11	64	5310
12	65	4938
13	65	4617
14	66	4348
15	66	4112
16	67	3896
17	67	3696
18	68	3521
19	68	3366
20	69	3223
21	69	3092
22	70	2978
23	70	2867
24	71	2770
25	71	2680
26	72	2595
27	72	2514
28	72	2440
29	73	2372
30	73	2307
31	74	2249
32	74	2193
33	75	2143
34	75	2093
35	76	2045
36	76	2001
37	77	1961
38	78	1925
39	78	1889
40	79	1852
41	79	1821
42	80	1790
43	80	1759
44	81	1731
45	82	1702
46	82	1677
47	83	1650
48	83	1625
49	84	1601
50	84	1577
51	85	1556
52	86	1537
53	86	1517
54	87	1499
55	87	1479
56	88	1463
57	89	1445
58	89	1429
59	90	1412
60	90	1395
61	91	1381
62	91	1366
63	92	1351
64	92	1336
65	93	1322
66	94	1320
67	95	1308
68	96	1295
69	96	1283
70	97	1270
71	97	1259
72	98	1248
73	98	1235
74	99	1226
75	100	1216
76	100	1205
77	101	1195
78	101	1186
79	102	1176
80	102	1166
81	103	1157
82	103	1148
83	104	1139
84	105	1132
85	105	1124
86	106	1117
87	106	1108
88	107	1100
89	108	1094
90	108	1086
91	109	1080
92	110	1073
93	110	1065
94	111	1058
95	111	1051
96	112	1046
97	113	1040
98	113	1035
99	114	1029
100	114	1022
101	115	1017
102	116	1011
103	116	1007
104	117	1002
105	118	997
106	118	991
107	119	985
108	120	981
109	120	977
110	121	972
111	122	968
112	122	964
113	123	958
114	123	954
115	124	949
116	125	943
117	125	938
118	126	935
119	126	930
120	127	925
121	127	920
122	128	915
123	128	911
124	129	907
125	130	902
126	130	898
127	131	894
128	131	891
129	132	886
130	133	882
131	133	878
132	134	874
133	134	871
134	135	868
135	136	864
136	136	861
137	137	857
138	137	853
139	138	849
140	138	845
141	139	842
142	140	839
143	140	835
144	141	832
145	141	829
146	142	826
147	143	823
148	143	821
149	144	821
150	145	817
151	146	814
152	146	812
153	147	808
154	147	805
155	148	802
156	148	799
157	149	796
158	150	793
159	150	790
160	150	786
161	151	783
162	152	780
163	152	777
164	153	774
165	153	771
166	154	769
167	154	766
168	155	763
169	155	761
170	156	759
171	157	756
172	157	754
173	158	752
174	159	750
175	159	748
176	160	746
177	161	743
178	161	741
179	162	738
180	162	736
181	163	734
182	164	732
183	164	730
184	165	727
185	165	725
186	166	722
187	166	720
188	167	718
189	167	716
190	168	713
191	169	711
192	169	710
193	170	708
194	171	706
195	171	704
196	172	702
197	172	700
198	173	698
199	173	695
200	174	693
201	175	691
202	175	689
203	176	687
204	176	685
205	177	683
206	178	683
207	179	681
208	179	679
209	180	677
210	180	675
211	181	674
212	182	672
213	182	671
214	183	669
215	184	668
216	184	666
217	185	664
218	185	662
219	186	660
220	186	659
221	187	657
222	188	656
223	188	654
224	189	652
225	189	650
226	190	649
227	191	647
228	191	645
229	192	644
230	193	643
231	193	642
232	195	642
233	195	640
234	196	639
235	197	638
236	197	636
237	198	635
238	198	633
239	199	631
240	200	630
241	200	628
242	201	626
243	201	624
244	202	623
245	202	621
246	203	620
247	203	618
248	204	616
249	205	615
250	205	613
251	205	611
252	206	609
253	207	608
254	207	607
255	208	605
256	208	603
257	209	602
258	210	601
259	210	599
260	211	598
261	211	596
262	212	594
263	212	593
264	213	592
265	213	590
266	214	589
267	215	587
268	215	586
269	216	585
270	217	584
271	217	583
272	218	581
273	218	580
274	219	578
275	220	577
276	220	575
277	221	574
278	221	573
279	222	572
280	223	571
281	223	570
282	224	569
283	226	569
284	226	568
285	227	568
286	228	567
287	229	566
288	229	565
289	230	564
290	231	563
291	231	561
292	232	560
293	232	559
294	233	558
295	234	556
296	234	555
297	235	554
298	235	553
299	236	552
300	237	551
301	237	549
302	238	548
303	239	547
304	239	545
305	240	544
306	240	543
307	241	542
308	241	540
309	242	539
310	242	538
311	243	536
312	243	535
313	244	534
314	245	533
315	245	531
316	246	530
317	246	529
318	247	528
319	247	526
320	248	525
321	248	524
322	250	524
323	250	523
324	251	522
325	252	521
326	252	519
327	253	518
328	253	517
329	254	516
330	254	515
331	255	514
332	256	512
333	256	511
334	257	511
335	258	510
336	258	509
337	259	507
338	259	506
339	260	505
340	260	504
341	261	503
342	262	502
343	262	501
344	263	501
345	264	500
346	265	498
347	265	497
348	266	496
349	266	495
350	267	494
351	267	493
352	268	491
353	268	490
354	269	489
355	270	488
356	270	487
357	271	486
358	271	485
359	272	483
360	272	482
361	273	481
362	274	482
363	275	480
364	275	480
365	276	479
366	276	477
367	277	476
368	278	475
369	278	474
370	279	473
371	279	472
372	280	471
373	280	470
374	281	469
375	282	468
376	282	466
377	283	465
378	283	464
379	284	463
380	284	462
381	284	461
382	285	459
383	286	459
384	286	458
385	287	456
386	287	456
387	288	455
388	289	453
389	289	453
390	290	452
391	290	451
392	291	450
393	292	449
394	292	448
395	293	447
396	293	446
397	294	445
398	295	444
399	295	443
400	296	442
401	296	441
402	297	441
403	298	440
404	299	439
405	299	438
406	300	437
407	301	436
408	301	435
409	302	434
410	302	433
411	303	432
412	303	431
413	304	430
414	304	429
415	305	428
416	305	427
417	306	426
418	307	425
419	307	424
420	308	423
421	308	422
422	309	421
423	309	421
424	310	420
425	311	419
426	311	418
427	312	417
428	313	416
429	313	416
430	314	415
431	314	414
432	315	413
433	316	412
434	316	411
435	317	410
436	317	409
437	318	408
438	318	407
439	319	406
440	320	405
441	321	405
442	321	404
443	322	403
444	322	402
445	323	401
446	324	401
447	324	400
448	325	399
449	326	398
450	326	397
451	327	396
452	327	396
453	328	395
454	329	394
455	329	393
456	330	392
457	330	391
458	331	390
459	331	389
460	332	388
461	332	387
462	333	386
463	334	385
464	334	384
465	335	384
466	335	383
467	336	382
468	336	381
469	337	380
470	337	379
471	338	378
472	338	377
473	339	376
474	339	375
475	340	374
476	340	373
477	341	372
478	341	371
479	342	371
480	343	370
481	343	369
482	344	368
483	345	367
484	345	366
485	346	366
486	346	365
487	347	364
488	347	363
489	348	362
490	349	361
491	349	361
492	350	360
493	350	359
494	351	358
495	351	357
496	352	357
497	353	356
498	353	355
499	354	354
500	354	353
501	355	352
502	355	351
503	356	350
504	356	349
505	357	349
506	358	348
507	358	347
508	359	346
509	359	345
510	360	344
511	361	344
512	361	343
513	362	342
514	362	341
515	363	340
516	363	339
517	364	339
518	364	338
519	365	337
520	366	336
521	366	335
522	367	335
523	368	334
524	368	333
525	369	332
526	369	331
527	370	331
528	370	330
529	371	329
530	372	328
531	372	327
532	373	326
533	373	326
534	374	325
535	374	324
536	375	323
537	375	322
538	376	322
539	377	321
540	377	320
541	378	319
542	378	318
543	379	317
544	379	317
545	380	316
546	380	315
547	382	315
548	382	314
549	383	313
550	384	312
551	385	312
552	386	312
553	386	311
554	387	310
555	388	309
556	388	309
557	389	308
558	390	307
559	390	307
560	391	306
561	391	305
562	392	304
563	393	303
564	393	303
565	394	302
566	394	301
567	395	300
568	395	299
569	396	299
570	397	298
571	397	297
572	398	296
573	398	295
574	399	295
575	399	294
576	400	293
577	401	292
578	401	291
579	402	291
580	402	290
581	403	289
582	404	288
583	404	288
584	405	287
585	405	286
586	406	285
587	406	285
588	407	284
589	407	283
590	408	282
591	408	281
592	409	281
593	410	280
594	410	279
595	411	278
596	412	278
597	413	277
598	413	276
599	414	276
600	415	275
601	415	274
602	416	274
603	417	273
604	417	272
605	418	271
606	418	271
607	419	270
608	420	269
609	420	268
610	421	268
611	421	267
612	422	266
613	422	265
614	423	265
615	424	264
616	424	263
617	425	262
618	425	262
619	426	261
620	427	260
621	427	260
622	428	259
623	428	258
624	429	257
625	430	257
626	430	256
627	431	255
628	431	254
629	435	255
630	435	254
631	436	254
632	437	253
633	437	252
634	438	251
635	438	251
636	439	250
637	439	249
638	440	248
639	440	247
640	441	247
641	441	246
642	442	245
643	443	244
644	443	244
645	444	243
646	444	242
647	445	241
648	445	241
649	446	240
650	446	239
651	447	238
652	448	238
653	448	237
654	449	236
655	449	235
656	450	235
657	451	234
658	451	233
659	451	232
660	452	232
661	453	231
662	454	231
663	455	230
664	455	229
665	456	228
666	456	228
667	457	227
668	457	226
669	458	225
670	458	224
671	459	224
672	459	223
673	460	222
674	461	221
675	461	221
676	462	220
677	462	219
678	463	219
679	463	218
680	464	217
681	464	216
682	465	216
683	466	215
684	466	214
685	467	213
686	468	213
687	468	212
688	469	211
689	469	211
690	470	210
691	471	209
692	471	208
693	472	208
694	472	207
695	473	206
696	474	206
697	474	205
698	475	204
699	476	204
700	476	203
701	477	202
702	478	201
703	478	201
704	479	200
705	479	199
706	480	199
707	480	198
708	481	197
709	481	196
710	482	196
711	482	195
712	483	194
713	484	193
714	484	193
715	485	192
716	485	191
717	486	191
718	486	190
719	487	189
720	488	188
721	488	188
722	489	187
723	489	186
724	490	185
725	490	185
726	491	184
727	492	183
728	492	183
729	493	182
730	493	181
731	494	180
732	494	180
733	495	179
734	495	178
735	496	178
736	497	177
737	497	176
738	498	175
739	498	175
740	499	174
741	499	173
742	500	173
743	501	172
744	501	171
745	502	170
746	502	170
747	503	169
748	503	168
749	504	168
750	505	167
751	505	166
752	506	166
753	506	165
754	507	164
755	508	163
756	508	163
757	509	162
758	509	161
759	510	161
760	511	160
761	511	159
762	512	159
763	512	158
764	513	157
765	513	156
766	514	156
767	515	155
768	515	154
769	516	154
770	516	153
771	517	152
772	518	152
773	518	151
774	519	150
775	519	150
776	520	149
777	520	148
778	521	147
779	522	147
780	522	146
781	523	145
782	523	145
783	524	144
784	524	143
785	525	143
786	526	142
787	526	141
788	527	140
789	527	140
790	528	139
791	528	138
792	529	138
793	530	137
794	530	136
795	531	136
796	531	135
797	532	134
798	532	134
799	533	133
800	534	132
801	534	132
802	535	131
803	535	130
804	536	129
805	536	129
806	537	128
807	537	127
808	538	127
809	539	126
810	539	125
811	540	125
812	540	124
813	541	123
814	542	123
815	542	122
816	543	121
817	544	121
818	545	120
819	546	119
820	546	119
821	547	118
822	547	117
823	548	117
824	549	116
825	549	115
826	550	115
827	550	114
828	551	113
829	551	113
830	552	112
831	552	111
832	553	110
833	554	110
834	554	109
835	555	108
836	555	108
837	556	107
838	556	106
839	557	106
840	557	105
841	558	104
842	559	104
843	559	103
844	560	102
845	560	102
846	561	101
847	561	100
848	562	99
849	562	99
850	563	98
851	563	97
852	564	97
853	565	96
854	565	95
855	566	95
856	566	94
857	567	93
858	567	93
859	568	92
860	568	91
861	569	91
862	569	90
863	570	89
864	570	89
865	571	88
866	571	87
867	572	87
868	572	86
869	573	85
870	574	85
871	574	84
872	575	83
873	575	83
874	576	82
875	576	81
876	577	81
877	578	80
878	578	79
879	579	79
880	580	78
881	580	77
882	581	77
883	581	76
884	582	75
885	583	75
886	584	74
887	585	73
888	586	73
889	586	72
890	587	71
891	587	71
892	588	70
893	589	69
894	589	69
895	590	68
896	590	67
897	591	67
898	592	66
899	592	65
900	593	65
901	593	64
902	594	63
903	595	63
904	595	62
905	596	61
906	596	61
907	597	60
908	597	59
909	598	59
910	599	58
911	599	57
912	600	57
913	600	56
914	601	55
915	602	55
916	602	54
917	603	53
918	603	53
919	604	52
920	604	51
921	605	51
922	605	50
923	606	49
924	607	49
925	607	48
926	608	47
927	608	47
928	609	46
929	610	45
930	610	45
931	611	44
932	611	43
933	612	43
934	613	42
935	613	41
936	614	41
937	614	40
938	615	39
939	615	39
940	616	38
941	617	38
942	617	37
943	618	36
944	618	36
945	619	35
946	620	34
947	620	34
948	621	33
949	621	32
950	622	32
951	622	31
952	623	30
953	624	30
954	624	29
955	625	28
956	625	28
957	626	27
958	626	26
959	627	26
960	627	25
961	628	24
962	629	24
963	629	23
964	630	22
965	630	22
966	631	21
967	632	20
968	632	20
969	633	19
970	633	18
971	634	18
972	634	17
973	635	16
974	636	16
975	636	15
976	637	15
977	637	14
978	638	13
979	639	13
980	639	12
981	640	11
982	640	11
983	641	10
984	642	9
985	642	9
986	643	8
987	643	7
988	644	7
989	644	6
990	645	5
991	646	5
992	646	4
993	647	3
994	647	3
995	648	2
996	648	1
997	649	1
998	649	0
999	650	0
