"Концентрат коксующегося угля_HCC Австралия, $/t FOB",dt,Лом_среднее_доллар_т,Лом_3А_руб_т_без_НДС,ЖРС_среднее_руб_т_без_НДС,"Чугун_Россия, FCA руб./т, без НДС"
103,2015-03-02,230.0,12385.0,2324.6666666666665,21250
103,2015-03-09,237.4,12319.666666666666,2361.3333333333335,15250
102,2015-03-16,237.4,12259.0,2361.3333333333335,15250
101,2015-03-23,237.4,12139.0,2361.3333333333335,15250
98,2015-03-30,239.0,12059.0,2410.0,15250
95,2015-04-06,244.0,11933.0,2302.5,13250
92,2015-04-13,244.8,11733.333333333334,2302.5,13250
90,2015-04-20,249.8,11312.166666666666,2302.5,13250
88,2015-04-27,254.6,10906.0,2302.5,13250
86,2015-05-04,255.6,10578.333333333334,2207.3333333333335,13250
82,2015-05-11,262.6,10280.5,2036.5,12750
82,2015-05-18,267.4,10100.833333333334,2036.5,12750
81,2015-05-25,264.6,9794.0,1906.1666666666667,12750
82,2015-06-01,262.0,9701.166666666666,1856.0,12750
83,2015-06-08,260.4,9767.0,1916.0,13000
85,2015-06-15,262.0,9604.333333333334,1916.0,13000
87,2015-06-22,258.8,9643.166666666666,1916.0,13000
88,2015-06-29,247.6,9646.166666666666,1981.1666666666667,13000
87,2015-07-06,234.4,9736.333333333334,2042.8333333333333,13000
87,2015-07-13,226.4,9893.0,2042.8333333333333,13000
84,2015-07-20,210.4,9940.0,2042.8333333333333,13000
80,2015-07-27,211.4,9936.333333333334,2095.8333333333335,13000
79,2015-08-03,214.4,9958.166666666666,2012.5,13000
83,2015-08-10,218.4,9946.666666666666,2008.3333333333333,13000
83,2015-08-17,220.2,9954.833333333334,2008.3333333333333,13000
81,2015-08-24,216.4,9935.166666666666,2008.3333333333333,13000
81,2015-08-31,216.8,10002.5,1926.3333333333333,13000
81,2015-09-07,206.6,10137.166666666666,1968.0,14000
81,2015-09-14,193.4,10157.833333333334,1968.0,14000
81,2015-09-21,191.2,10148.5,1968.0,14000
80,2015-09-28,182.4,10186.833333333334,2021.5,14000
79,2015-10-05,176.0,10217.666666666666,2100.6666666666665,14000
80,2015-10-12,169.0,10212.833333333334,2100.6666666666665,14000
79,2015-10-19,163.8,10136.333333333334,2100.6666666666665,14000
78,2015-10-26,161.8,10117.166666666666,2185.6666666666665,14000
