dt,Концентрат_коксующегося_угля_Россия_среднее_руб_т_без_НДС,"Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС",Лом_3А_руб_т_без_НДС,ЖРС_среднее_руб_т_без_НДС,"Чугун_Россия, FCA руб./т, без НДС"
2015-03-02,3948.75,6900,12385.0,2324.6666666666665,21250
2015-03-09,4173.625,8750,12319.666666666666,2361.3333333333335,15250
2015-03-16,4173.625,8750,12259.0,2361.3333333333335,15250
2015-03-23,4173.625,8750,12139.0,2361.3333333333335,15250
2015-03-30,4173.625,8750,12059.0,2410.0,15250
2015-04-06,4270.75,8750,11933.0,2302.5,13250
2015-04-13,4973.875,10350,11733.333333333334,2302.5,13250
2015-04-20,4973.875,10350,11312.166666666666,2302.5,13250
2015-04-27,4973.875,10350,10906.0,2302.5,13250
2015-05-04,4971.875,10350,10578.333333333334,2207.3333333333335,13250
2015-05-11,4959.375,9900,10280.5,2036.5,12750
2015-05-18,4959.375,9900,10100.833333333334,2036.5,12750
2015-05-25,4959.375,9900,9794.0,1906.1666666666667,12750
2015-06-01,4959.375,9900,9701.166666666666,1856.0,12750
2015-06-08,4854.75,9400,9767.0,1916.0,13000
2015-06-15,4854.75,9400,9604.333333333334,1916.0,13000
2015-06-22,4854.75,9400,9643.166666666666,1916.0,13000
2015-06-29,4854.75,9400,9646.166666666666,1981.1666666666667,13000
2015-07-06,4066.625,9050,9736.333333333334,2042.8333333333333,13000
2015-07-13,4066.625,9050,9893.0,2042.8333333333333,13000
2015-07-20,4066.625,9050,9940.0,2042.8333333333333,13000
2015-07-27,4066.625,9050,9936.333333333334,2095.8333333333335,13000
2015-08-03,4066.625,9050,9958.166666666666,2012.5,13000
2015-08-10,3987.625,8800,9946.666666666666,2008.3333333333333,13000
2015-08-17,3987.625,8800,9954.833333333334,2008.3333333333333,13000
2015-08-24,3987.625,8800,9935.166666666666,2008.3333333333333,13000
2015-08-31,3987.625,8800,10002.5,1926.3333333333333,13000
2015-09-07,3987.625,8800,10137.166666666666,1968.0,14000
2015-09-14,3987.625,8800,10157.833333333334,1968.0,14000
2015-09-21,3987.625,8800,10148.5,1968.0,14000
2015-09-28,3987.625,8800,10186.833333333334,2021.5,14000
2015-10-05,3987.625,8800,10217.666666666666,2100.6666666666665,14000
2015-10-12,4320.0,9100,10212.833333333334,2100.6666666666665,14000
2015-10-19,4320.0,9100,10136.333333333334,2100.6666666666665,14000
2015-10-26,4320.0,9100,10117.166666666666,2185.6666666666665,14000
2015-11-02,4320.0,9100,9904.666666666666,2185.6666666666665,14000
2015-11-09,4320.0,9000,9706.333333333334,2185.6666666666665,11000
2015-11-16,4320.0,9000,9441.333333333334,2185.6666666666665,11000
2015-11-23,4320.0,9000,8984.833333333334,2185.6666666666665,11000
2015-11-30,4320.0,9000,8773.333333333334,2152.8333333333335,11000
2015-12-07,4320.0,9000,8727.5,2048.6666666666665,11000
2015-12-14,4320.0,9000,8687.166666666666,2048.6666666666665,11000
2015-12-21,4320.0,9000,8528.333333333334,2048.6666666666665,11000
2015-12-28,4320.0,9000,8537.166666666666,1955.0,11000
2016-01-04,4320.0,9000,8516.333333333334,1955.0,11000
2016-01-11,4307.5,9000,8489.166666666666,1859.1666666666667,11000
2016-01-18,4305.875,9000,8554.166666666666,1855.0,11000
2016-01-25,4305.875,9000,8601.166666666666,1855.0,11000
2016-02-01,4305.875,9000,8732.333333333334,1774.3333333333333,11000
2016-02-08,4305.875,8650,8844.0,1786.8333333333333,11700
2016-02-15,4305.875,8650,8973.166666666666,1786.8333333333333,11700
2016-02-22,4305.875,8650,9029.0,1786.8333333333333,11700
2016-02-29,4305.875,8650,9010.666666666666,1813.5,11700
2016-03-07,4305.875,8650,9092.166666666666,1892.6666666666667,12300
2016-03-14,4305.875,8650,9281.666666666666,1892.6666666666667,12300
2016-03-21,4305.875,8650,9494.333333333334,1892.6666666666667,12300
2016-03-28,4305.875,8650,9642.833333333334,1958.0,12300
2016-04-04,4305.875,8650,9664.333333333334,1958.0,12300
2016-04-11,4611.5,8850,9868.166666666666,2123.8333333333335,14200
2016-04-18,4611.5,8850,9873.166666666666,2123.8333333333335,14200
2016-04-25,4611.5,8850,10099.5,2123.8333333333335,14200
2016-05-02,4611.5,8850,10451.5,2296.5,14200
2016-05-09,4611.5,8850,10773.333333333334,2284.0,19500
2016-05-16,4611.5,8850,11645.666666666666,2284.0,19500
2016-05-23,4611.5,8850,11685.166666666666,2284.0,19500
2016-05-30,4611.5,8850,11922.666666666666,2273.6666666666665,19500
2016-06-06,4611.5,8875,12130.5,2307.0,17750
2016-06-13,4611.5,8875,12060.166666666666,2307.0,17750
2016-06-20,4611.5,8875,11941.833333333334,2307.0,17750
2016-06-27,4611.5,8875,11745.0,2341.0,17750
2016-07-04,4611.5,8875,10952.0,2341.0,17750
