,dt,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС",Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Окатыши,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Концентрат коксующегося угля_Отощающие,Поставки Чугун_Литейный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Окатыши,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья ЖРС_Концентрат,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Цена на арматуру
9,2015-03-09,3850.0,214.0,12696.0,11912.0,12910.0,63.0,3700.0,72.0,224.0,215.0,295.0,248.0,3300.0,12100.0,53.0,4500.0,6900.0,12439.0,4300.0,265.0,1325.0,2275.0,21250.0,103.0,3450.0,12253.0,4700.0,249.0,3890.0,3350.0,3540.0,2097.0,1261.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,29000
10,2015-03-16,4400.0,232.0,12916.0,12061.0,12964.0,61.0,4050.0,70.0,229.0,221.0,275.0,248.0,3750.0,11774.0,51.0,4700.0,8750.0,12020.0,4100.0,265.0,1345.0,2425.0,15250.0,103.0,3500.0,12183.0,4700.0,257.0,4164.0,3525.0,3540.0,2097.0,1261.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,28700
11,2015-03-23,4400.0,229.0,12883.0,11893.0,12812.0,58.0,4050.0,67.0,231.0,223.0,265.0,248.0,3750.0,11733.0,48.0,4700.0,8750.0,12093.0,4100.0,263.0,1345.0,2425.0,15250.0,102.0,3500.0,12140.0,4700.0,256.0,4164.0,3525.0,3540.0,2097.0,1261.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,27800
12,2015-03-30,4400.0,230.0,12753.0,11945.0,12694.0,56.0,4050.0,65.0,230.0,220.0,263.0,253.0,3750.0,11540.0,46.0,4700.0,8750.0,11763.0,4100.0,263.0,1345.0,2425.0,15250.0,101.0,3500.0,12139.0,4700.0,254.0,4164.0,3525.0,3540.0,2097.0,1261.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,27200
13,2015-04-06,4400.0,231.0,12521.0,11853.0,12569.0,55.0,4050.0,63.5,233.0,221.0,269.0,254.0,3750.0,11579.0,44.5,4700.0,8750.0,11719.0,4100.0,261.0,1345.0,2425.0,15250.0,98.0,3500.0,12113.0,4700.0,256.0,4164.0,3525.0,3601.0,2322.0,1267.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,26600
14,2015-04-13,4400.0,235.0,12395.0,11785.0,12421.0,50.0,4050.0,58.0,236.0,229.0,265.0,258.0,3750.0,11378.0,39.0,4700.0,8750.0,11250.0,4100.0,264.0,1250.0,2175.0,13250.0,95.0,3200.0,12369.0,4700.0,262.0,4941.0,3525.0,3601.0,2322.0,1267.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25700
15,2015-04-20,5350.0,238.0,12220.0,11327.0,12146.0,48.0,5200.0,57.5,236.0,229.0,265.0,258.0,4400.0,11056.0,38.5,5700.0,10350.0,11327.0,4800.0,260.0,1250.0,2175.0,13250.0,92.0,3200.0,12324.0,5550.0,263.0,4941.0,3850.0,3601.0,2322.0,1267.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24800
16,2015-04-27,5350.0,245.0,11830.0,11050.0,11716.0,50.0,5200.0,58.5,241.0,238.0,265.0,258.0,4400.0,10613.0,39.5,5700.0,10350.0,10555.0,4800.0,260.0,1250.0,2175.0,13250.0,90.0,3200.0,12109.0,5550.0,267.0,4941.0,3850.0,3601.0,2322.0,1267.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24700
17,2015-05-04,5350.0,250.0,11083.0,11091.0,11035.0,54.0,5200.0,61.0,248.0,243.0,270.0,258.0,4400.0,10456.0,42.0,5700.0,10350.0,10066.0,4800.0,264.0,1250.0,2175.0,13250.0,88.0,3200.0,11705.0,5550.0,274.0,4941.0,3850.0,3601.0,2322.0,1267.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24300
18,2015-05-11,5350.0,251.0,10714.0,11167.0,10865.0,58.0,5200.0,62.5,249.0,244.0,265.0,258.0,4400.0,9996.0,43.5,5700.0,10350.0,9758.0,4800.0,263.0,1250.0,2175.0,13250.0,86.0,3200.0,10970.0,5550.0,276.0,4925.0,3850.0,3376.0,2192.0,1051.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,23900
19,2015-05-18,5250.0,259.0,10558.0,11270.0,10463.0,60.0,5200.0,64.0,257.0,252.0,263.0,260.0,4400.0,9371.0,45.0,5700.0,9900.0,9432.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,10589.0,5550.0,285.0,4925.0,3850.0,3376.0,2192.0,1051.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24000
20,2015-05-25,5250.0,265.0,10269.0,10723.0,10454.0,62.0,5200.0,65.0,264.0,255.0,263.0,265.0,4400.0,9234.0,46.0,5700.0,9900.0,9386.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,10539.0,5550.0,288.0,4925.0,3850.0,3376.0,2192.0,1051.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,23700
