,Цена на арматуру,Курс доллара,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Окатыши,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Отощающие,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Окатыши,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Концентрат,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_3А, РФ CPT авто Центральный ФО, руб./т, без НДС","Лом_3А, РФ CPT авто Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_3А, РФ CPT авто Южный ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","ГБЖ_Россия, FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Чугун_FOB Россия Дальневосточные порты, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ,Цена на бензин,Цена на дт
0,32900,,527,208,376,9063,3691,2448,272,243,266,342,3886,931,3803,5543,1636,4250,383,2141,301,430,141,142,49,2,45,384,301,2006,384,301,2142,49,136,16,,,0,0,0,0,0,0,97,68,3850,228,12344,10009,12728,62,,3700.0,70.0,,,221,221,338,,248,3300,,11573,51.0,4500,,6900,11870,4300,297,1325.0,2275.0,21250,106,3450.0,,11598,4700.0,246,,3890,3350.0,,,,,,,,,,,40.751,27.53,987.5400000001076,201.7569999999968,2.3891,52.331737,31.49115,2.290940587,1.189297,3769.2,4968.1,1.91978113,223.405,198.589,35.91,36.15
1,32500,,527,208,376,9063,3691,2448,272,243,266,342,3886,931,3803,5543,1636,4250,383,2141,301,430,141,142,49,2,45,384,301,2006,384,301,2142,49,136,16,,,0,0,0,0,0,0,97,68,3850,228,12344,10009,12728,62,,3700.0,70.0,,,221,221,338,,248,3300,,11573,51.0,4500,,6900,11870,4300,297,1325.0,2275.0,21250,106,3450.0,,11598,4700.0,246,,3890,3350.0,,,,,,,,,,,40.751,27.53,987.5400000001076,201.7569999999968,2.3891,52.331737,31.49115,2.290940587,1.189297,3769.2,4968.1,1.91978113,223.405,198.589,35.91,36.15
2,32000,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,206,12271,10432,12852,63,,3700.0,70.0,,,221,213,308,,248,3300,,11746,51.0,4500,,6900,12088,4300,278,1325.0,2275.0,21250,106,3450.0,,11794,4700.0,243,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
3,30700,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,206,12271,10432,12852,63,,3700.0,70.0,,,221,213,308,,248,3300,,11746,51.0,4500,,6900,12088,4300,278,1325.0,2275.0,21250,106,3450.0,,11794,4700.0,243,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
4,30300,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,206,12271,10432,12852,63,,3700.0,70.0,,,221,213,308,,248,3300,,11746,51.0,4500,,6900,12088,4300,278,1325.0,2275.0,21250,106,3450.0,,11794,4700.0,243,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
5,30300,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,206,12271,10432,12852,63,,3700.0,70.0,,,221,213,308,,248,3300,,11746,51.0,4500,,6900,12088,4300,278,1325.0,2275.0,21250,106,3450.0,,11794,4700.0,243,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
6,30100,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,228,12344,10009,12728,62,,3700.0,70.0,,,221,221,338,,248,3300,,11573,51.0,4500,,6900,11870,4300,297,1325.0,2275.0,21250,106,3450.0,,11598,4700.0,246,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
7,29400,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,206,12271,10432,12852,63,,3700.0,70.0,,,221,213,308,,248,3300,,11746,51.0,4500,,6900,12088,4300,278,1325.0,2275.0,21250,106,3450.0,,11794,4700.0,243,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
8,29200,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,207,12645,11981,13034,64,,3700.0,72.0,,,215,208,295,,248,3300,,11930,53.0,4500,,6900,12503,4300,265,1325.0,2275.0,21250,103,3450.0,,12047,4700.0,241,,3890,3350.0,,,,,,,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
9,29000,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,3850,214,12696,11912,12910,63,,3700.0,72.0,,,224,215,295,,248,3300,,12100,53.0,4500,,6900,12439,4300,265,1325.0,2275.0,21250,103,3450.0,,12253,4700.0,249,,3890,3350.0,,,3540.0,2097.0,1261.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
