dt,Цена на арматуру,Концентрат_коксующегося_угля_Россия_среднее_руб_т_без_НДС,"Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС",Лом_3А_руб_т_без_НДС_x,ЖРС_среднее_руб_т_без_НДС_x,"Чугун_Россия, FCA руб./т, без НДС_x","Концентрат коксующегося угля_HCC Австралия, $/t FOB",Лом_среднее_доллар_т,Лом_3А_руб_т_без_НДС_y,ЖРС_среднее_руб_т_без_НДС_y,"Чугун_Россия, FCA руб./т, без НДС_y"
2015-03-02,29200,3948.75,6900,12385.0,2324.6666666666665,21250,103,230.0,12385.0,2324.6666666666665,21250
2015-03-09,29000,4173.625,8750,12319.666666666666,2361.3333333333335,15250,103,237.4,12319.666666666666,2361.3333333333335,15250
2015-03-16,28700,4173.625,8750,12259.0,2361.3333333333335,15250,102,237.4,12259.0,2361.3333333333335,15250
2015-03-23,27800,4173.625,8750,12139.0,2361.3333333333335,15250,101,237.4,12139.0,2361.3333333333335,15250
2015-03-30,27200,4173.625,8750,12059.0,2410.0,15250,98,239.0,12059.0,2410.0,15250
2015-04-06,26600,4270.75,8750,11933.0,2302.5,13250,95,244.0,11933.0,2302.5,13250
2015-04-13,25700,4973.875,10350,11733.333333333334,2302.5,13250,92,244.8,11733.333333333334,2302.5,13250
2015-04-20,24800,4973.875,10350,11312.166666666666,2302.5,13250,90,249.8,11312.166666666666,2302.5,13250
2015-04-27,24700,4973.875,10350,10906.0,2302.5,13250,88,254.6,10906.0,2302.5,13250
2015-05-04,24300,4971.875,10350,10578.333333333334,2207.3333333333335,13250,86,255.6,10578.333333333334,2207.3333333333335,13250
2015-05-11,23900,4959.375,9900,10280.5,2036.5,12750,82,262.6,10280.5,2036.5,12750
2015-05-18,24000,4959.375,9900,10100.833333333334,2036.5,12750,82,267.4,10100.833333333334,2036.5,12750
2015-05-25,23700,4959.375,9900,9794.0,1906.1666666666667,12750,81,264.6,9794.0,1906.1666666666667,12750
2015-06-01,23500,4959.375,9900,9701.166666666666,1856.0,12750,82,262.0,9701.166666666666,1856.0,12750
2015-06-08,23800,4854.75,9400,9767.0,1916.0,13000,83,260.4,9767.0,1916.0,13000
2015-06-15,24400,4854.75,9400,9604.333333333334,1916.0,13000,85,262.0,9604.333333333334,1916.0,13000
2015-06-22,25000,4854.75,9400,9643.166666666666,1916.0,13000,87,258.8,9643.166666666666,1916.0,13000
2015-06-29,25300,4854.75,9400,9646.166666666666,1981.1666666666667,13000,88,247.6,9646.166666666666,1981.1666666666667,13000
2015-07-06,25500,4066.625,9050,9736.333333333334,2042.8333333333333,13000,87,234.4,9736.333333333334,2042.8333333333333,13000
2015-07-13,25500,4066.625,9050,9893.0,2042.8333333333333,13000,87,226.4,9893.0,2042.8333333333333,13000
2015-07-20,25400,4066.625,9050,9940.0,2042.8333333333333,13000,84,210.4,9940.0,2042.8333333333333,13000
2015-07-27,25200,4066.625,9050,9936.333333333334,2095.8333333333335,13000,80,211.4,9936.333333333334,2095.8333333333335,13000
2015-08-03,25000,4066.625,9050,9958.166666666666,2012.5,13000,79,214.4,9958.166666666666,2012.5,13000
2015-08-10,24700,3987.625,8800,9946.666666666666,2008.3333333333333,13000,83,218.4,9946.666666666666,2008.3333333333333,13000
2015-08-17,24400,3987.625,8800,9954.833333333334,2008.3333333333333,13000,83,220.2,9954.833333333334,2008.3333333333333,13000
2015-08-24,24100,3987.625,8800,9935.166666666666,2008.3333333333333,13000,81,216.4,9935.166666666666,2008.3333333333333,13000
2015-08-31,24100,3987.625,8800,10002.5,1926.3333333333333,13000,81,216.8,10002.5,1926.3333333333333,13000
2015-09-07,23900,3987.625,8800,10137.166666666666,1968.0,14000,81,206.6,10137.166666666666,1968.0,14000
2015-09-14,24200,3987.625,8800,10157.833333333334,1968.0,14000,81,193.4,10157.833333333334,1968.0,14000
