Date,Price,Open,High,Low,Vol.,Change %
31.03.2023,39.69,40.21,40.24,39.52,18.23,-1.38
30.03.2023,40.24,40.6,41.0,40.02,27.14,-0.87
29.03.2023,40.6,39.15,40.65,38.96,48.7,3.7
28.03.2023,39.15,39.45,39.75,38.91,17.02,-0.62
27.03.2023,39.4,38.99,39.48,38.92,20.95,1.26
24.03.2023,38.9,39.29,39.29,38.77,13.86,-0.64
23.03.2023,39.15,39.35,39.49,38.94,15.02,-0.5
22.03.2023,39.35,39.49,39.74,39.22,13.83,-0.62
21.03.2023,39.6,40.28,40.52,39.21,19.53,-1.39
20.03.2023,40.15,39.89,40.28,39.5,25.53,0.66
17.03.2023,39.89,40.26,40.92,39.43,32.37,-0.89
16.03.2023,40.25,40.87,40.87,39.66,29.93,-1.59
15.03.2023,40.9,41.28,41.61,40.6,12.44,-0.92
14.03.2023,41.28,41.5,41.5,40.75,13.33,-0.57
13.03.2023,41.51,42.12,42.67,41.01,24.48,-1.41
10.03.2023,42.11,41.17,42.27,41.01,22.62,1.94
09.03.2023,41.31,40.79,41.54,40.46,24.12,1.59
07.03.2023,40.67,40.08,40.87,39.6,19.41,1.7
06.03.2023,39.99,39.85,40.09,39.56,16.74,0.77
03.03.2023,39.68,38.89,39.68,38.74,9.96,1.9
02.03.2023,38.94,39.6,39.9,38.43,21.41,-1.34
01.03.2023,39.47,39.16,39.49,39.0,9.53,1.02
28.02.2023,39.07,39.21,39.51,38.9,11.01,-0.06
27.02.2023,39.1,38.65,39.37,38.31,14.42,0.7
24.02.2023,38.83,38.8,39.5,38.26,19.28,0.06
22.02.2023,38.8,38.31,38.9,38.0,18.47,1.28
21.02.2023,38.31,36.88,38.51,36.88,26.62,4.02
20.02.2023,36.83,36.33,37.25,35.81,14.35,0.81
17.02.2023,36.53,36.35,36.9,35.98,11.18,0.52
16.02.2023,36.35,35.83,36.73,35.81,13.97,1.42
15.02.2023,35.83,37.3,37.35,35.26,24.52,-4.15
14.02.2023,37.38,38.36,38.45,37.12,18.36,-2.66
13.02.2023,38.4,38.51,38.9,38.35,9.38,-0.16
