cast_iron_europe_dollar_tonn_ship_cfr,cast_iron_brasil_south_dollar_tonn_ship_fob,cast_iron_russia_rub_tonn_ship_fca,cast_iron_turkey_dollar_tonn_ship_cfr,cast_iron_russia_south_dollar_tonn_ship_fob,cast_iron_italy_dollar_tonn_ship_cfr,cast_iron_usa_dollar_tonn_ship_cfr,cast_iron_russia_east_dollar_tonn_fob,cast_iron_brasil_north_dollar_tonn_ship_fob,cast_iron_china_dollar_tonn_ship_cfr,dt
,,21250,,297,,,,338,,2015-02-09
,,21250,,278,,,,308,,2015-02-16
,,21250,,265,,,,295,,2015-02-23
,,21250,,265,,,,295,,2015-03-02
,,15250,,265,,,,275,,2015-03-09
,,15250,,263,,,,265,,2015-03-16
,,15250,,263,,,,263,,2015-03-23
,,15250,,261,,,,269,,2015-03-30
,,13250,,264,,,,265,,2015-04-06
,,13250,,260,,,,265,,2015-04-13
,,13250,,260,,,,265,,2015-04-20
,,13250,,264,,,,270,,2015-04-27
,,13250,,263,,,,265,,2015-05-04
,,12750,,270,,,,263,,2015-05-11
,,12750,,270,,,,263,,2015-05-18
,,12750,,272,,,,265,,2015-05-25
,,12750,,270,,,,265,,2015-06-01
,,13000,,272,,,,265,,2015-06-08
,,13000,,271,,,,265,,2015-06-15
,,13000,,268,,,,265,,2015-06-22
,,13000,,266,,,,265,,2015-06-29
,,13000,,259,,,,265,,2015-07-06
,,13000,,255,,,,265,,2015-07-13
,,13000,,245,,,,265,,2015-07-20
,,13000,,245,,,,265,,2015-07-27
,,13000,,240,,,,265,,2015-08-03
,,13000,,245,,,,255,,2015-08-10
,,13000,,245,,,,255,,2015-08-17
,,13000,,240,,,,250,,2015-08-24
,,13000,,235,,,,248,,2015-08-31
,,14000,,230,,,,236,,2015-09-07
,,14000,,210,,,,236,,2015-09-14
,,14000,,210,,,,236,,2015-09-21
,,14000,,205,,,,231,,2015-09-28
,,14000,,195,,,,216,,2015-10-05
,,14000,,190,,,,216,,2015-10-12
,,14000,,175,,,,205,,2015-10-19
,,14000,,180,,,,189,,2015-10-26
,,14000,,185,,,,189,,2015-11-02
,,11000,,185,,,,181,,2015-11-09
,,11000,,190,,,,181,,2015-11-16
,,11000,,190,,,,181,,2015-11-23
,,11000,,185,,,,183,,2015-11-30
,,11000,,180,,,,183,,2015-12-07
,,11000,,180,,,,183,,2015-12-14
,,11000,,180,,,,183,,2015-12-21
,,11000,,180,,,,183,,2015-12-28
,,11000,,180,,,,183,,2016-01-04
,,11000,,185,,,,183,,2016-01-11
,,11000,,190,,,,183,,2016-01-18
,,11000,,190,,,,183,,2016-01-25
,,11000,,190,,,,183,,2016-02-01
,,11700,,185,,,,181,,2016-02-08
,,11700,,185,,,,185,,2016-02-15
,,11700,,187,,,,187,,2016-02-22
,,11700,,189,,,,188,,2016-02-29
,,12300,,210,,,,192,,2016-03-07
,,12300,,210,,,,193,,2016-03-14
,,12300,,240,,,,190,,2016-03-21
,,12300,,250,,,,214,,2016-03-28
,,12300,,250,,,,236,,2016-04-04
,,14200,,260,,,,241,,2016-04-11
,,14200,,275,,,,244,,2016-04-18
,,14200,,295,,,,251,,2016-04-25
,,14200,,325,,,,288,,2016-05-02
,,19500,,325,,,,295,,2016-05-09
,,19500,,315,,,,295,,2016-05-16
,,19500,,285,,,,295,,2016-05-23
,,19500,,280,,,,292,,2016-05-30
,,17750,,265,,,,290,,2016-06-06
,,17750,,245,,,,286,,2016-06-13
,,17750,,250,,,,288,,2016-06-20
,,17750,,250,,,,288,,2016-06-27
,,17750,,240,,,,253,,2016-07-04
,,15900,,245,,,,245,,2016-07-11
,,15900,,245,,,,250,,2016-07-18
,,15900,,250,,,,250,,2016-07-25
,,15900,,250,,,,248,,2016-08-01
,,14750,,245,,,,250,,2016-08-08
,,14750,,250,,,,245,,2016-08-15
,,14750,,255,,,,245,,2016-08-22
,,14750,,255,,,,250,,2016-08-29
,,14750,,255,,,,250,,2016-09-05
,,14750,,255,,,,250,,2016-09-12
,,14750,,245,,,,248,,2016-09-19
,,14750,,250,,,,248,,2016-09-26
,,14750,,243,,,,248,,2016-10-03
,,13400,,235,,,,243,,2016-10-10
,,13400,,240,,,,243,,2016-10-17
,,13400,,250,,,,235,,2016-10-24
,,13400,,270,,,,235,,2016-10-31
,,13900,,290,,,,249,,2016-11-07
,,13900,,315,,,,249,,2016-11-14
,,13900,,325,,,,278,,2016-11-21
,,13900,,320,,,,278,,2016-11-28
,,16800,,315,,,,275,,2016-12-05
,,16800,,310,,,,275,,2016-12-12
,,16800,,315,,,,300,,2016-12-19
,,16800,,310,,,,300,,2016-12-26
,,16800,,310,,,,300,,2017-01-02
,,20850,,310,,,,300,,2017-01-09
,,20850,,310,,,,300,,2017-01-16
,,20850,,315,,,,300,,2017-01-23
,,20850,,300,,,,280,,2017-01-30
,,20850,,290,,,,280,,2017-02-06
,,20850,297.5,310,285.5,312.0,,313,,2017-02-13
,,20850,315.0,328,312.5,325.0,,313,,2017-02-20
,,20850,343.0,340,322.5,345.0,,320,,2017-02-27
,,20850,362.5,360,352.5,370.0,,335,,2017-03-06
,,20850,362.5,365,372.5,370.0,,355,,2017-03-13
,,20850,398.5,385,387.5,386.5,,390,,2017-03-20
,,20850,387.5,395,387.5,386.5,,390,,2017-03-27
,,20850,367.5,390,377.5,390.0,,380,,2017-04-03
,,21250,362.5,390,372.5,380.0,,370,,2017-04-10
,,21250,362.5,387,372.5,392.0,,370,,2017-04-17
,,21250,362.5,385,372.5,382.5,,365,,2017-04-24
,,21250,342.5,375,367.5,387.5,,365,,2017-05-01
,,18500,342.5,370,368.5,377.5,,365,,2017-05-08
,,18500,342.5,370,365.0,377.5,,365,,2017-05-15
,,18500,342.5,365,360.0,375.0,,365,,2017-05-22
,,18500,347.5,360,352.5,367.5,,365,,2017-05-29
,,18250,342.5,360,355.0,347.5,,365,,2017-06-05
,,18250,342.5,355,345.0,347.5,,350,,2017-06-12
,,18250,332.5,350,345.0,345.0,,350,,2017-06-19
,,18250,332.5,345,344.5,345.0,,345,,2017-06-26
,,18250,332.5,340,345.5,345.0,,340,,2017-07-03
,,18250,342.5,350,355.5,352.5,,345,,2017-07-10
,,18250,342.5,350,357.5,352.5,,345,,2017-07-17
,,18250,350.0,350,362.5,360.0,,350,,2017-07-24
,,18250,360.0,360,367.5,362.5,,355,,2017-07-31
,,18850,362.5,355,366.0,362.5,,355,,2017-08-07
,,18850,365.0,360,375.0,367.5,,355,,2017-08-14
,,18850,365.0,365,375.0,375.0,,360,,2017-08-21
,,18850,370.0,375,385.0,382.5,,363,,2017-08-28
,,18850,370.0,380,390.0,387.5,,375,,2017-09-04
,,19350,370.0,380,390.0,387.5,,375,,2017-09-11
,,19350,370.0,380,386.5,387.5,,375,,2017-09-18
,,19350,365.0,375,375.0,382.5,,370,,2017-09-25
,,19350,345.0,345,357.5,365.0,,333,,2017-10-02
,,20650,345.0,345,350.0,355.0,,333,,2017-10-09
,,20650,342.5,340,351.5,340.0,,327,,2017-10-16
,,20650,342.5,340,352.5,350.0,,327,,2017-10-23
,,20650,342.5,340,355.0,351.5,,336,,2017-10-30
,,20000,342.5,340,355.0,351.5,,336,,2017-11-06
,,20000,342.5,337,352.5,347.5,,336,,2017-11-13
,,20000,342.5,340,352.5,347.5,,330,,2017-11-20
,,20000,342.5,335,352.5,343.5,,325,,2017-11-27
,,20000,347.5,335,355.5,347.5,,330,,2017-12-04
,,20000,375.0,355,366.0,367.5,,350,,2017-12-11
,,20000,375.0,355,363.5,372.5,,350,,2017-12-18
