coking_coil_russia_kc_rub_tonn_ship_fca,coking_coil_k_russia_ko_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_australia_dollar_tonn_ship_fob,coking_coil_average_size_russia_rub_tonn_ship_fca,coking_coil_russia_siberia_rub_tonn_ship_fca,coking_coil_russia_oc_rub_tonn_ship_fca,coking_coil_russia_ko_rub_tonn_ship_fca,dt
3300,4500,4300,4700.0,3350.0,106,3890,6900,3850,3700.0,2015-02-09
3300,4500,4300,4700.0,3350.0,106,3890,6900,3850,3700.0,2015-02-16
3300,4500,4300,4700.0,3350.0,103,3890,6900,3850,3700.0,2015-02-23
3300,4500,4300,4700.0,3350.0,103,3890,6900,3850,3700.0,2015-03-02
3750,4700,4100,4700.0,3525.0,103,4164,8750,4400,4050.0,2015-03-09
3750,4700,4100,4700.0,3525.0,102,4164,8750,4400,4050.0,2015-03-16
3750,4700,4100,4700.0,3525.0,101,4164,8750,4400,4050.0,2015-03-23
3750,4700,4100,4700.0,3525.0,98,4164,8750,4400,4050.0,2015-03-30
3750,4700,4100,4700.0,3525.0,95,4941,8750,4400,4050.0,2015-04-06
4400,5700,4800,5550.0,3850.0,92,4941,10350,5350,5200.0,2015-04-13
4400,5700,4800,5550.0,3850.0,90,4941,10350,5350,5200.0,2015-04-20
4400,5700,4800,5550.0,3850.0,88,4941,10350,5350,5200.0,2015-04-27
4400,5700,4800,5550.0,3850.0,86,4925,10350,5350,5200.0,2015-05-04
4400,5700,4800,5550.0,3850.0,82,4925,9900,5250,5200.0,2015-05-11
4400,5700,4800,5550.0,3850.0,82,4925,9900,5250,5200.0,2015-05-18
4400,5700,4800,5550.0,3850.0,81,4925,9900,5250,5200.0,2015-05-25
4400,5700,4800,5550.0,3850.0,82,4925,9900,5250,5200.0,2015-06-01
4250,5550,4800,5400.0,3850.0,83,4838,9400,5150,5000.0,2015-06-08
4250,5550,4800,5400.0,3850.0,85,4838,9400,5150,5000.0,2015-06-15
4250,5550,4800,5400.0,3850.0,87,4838,9400,5150,5000.0,2015-06-22
4250,5550,4800,5400.0,3850.0,88,4838,9400,5150,5000.0,2015-06-29
3300,4550,4500,4400.0,3525.0,87,4108,9050,4150,4000.0,2015-07-06
3300,4550,4500,4400.0,3525.0,87,4108,9050,4150,4000.0,2015-07-13
3300,4550,4500,4400.0,3525.0,84,4108,9050,4150,4000.0,2015-07-20
3300,4550,4500,4400.0,3525.0,80,4108,9050,4150,4000.0,2015-07-27
3300,4550,4500,4400.0,3525.0,79,4108,9050,4150,4000.0,2015-08-03
3300,4550,4200,4400.0,3300.0,83,4001,8800,4150,4000.0,2015-08-10
3300,4550,4200,4400.0,3300.0,83,4001,8800,4150,4000.0,2015-08-17
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-08-24
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-08-31
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-09-07
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-09-14
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-09-21
3300,4550,4200,4400.0,3300.0,80,4001,8800,4150,4000.0,2015-09-28
3300,4550,4200,4400.0,3300.0,79,4001,8800,4150,4000.0,2015-10-05
3450,4750,4650,5000.0,3800.0,80,4335,9100,4375,4200.0,2015-10-12
3450,4750,4650,5000.0,3800.0,79,4335,9100,4375,4200.0,2015-10-19
3450,4750,4650,5000.0,3800.0,78,4335,9100,4375,4200.0,2015-10-26
3450,4750,4650,5000.0,3800.0,77,4335,9100,4375,4200.0,2015-11-02
3450,4750,4650,5000.0,3800.0,76,4335,9000,4375,4200.0,2015-11-09
3450,4750,4650,5000.0,3800.0,74,4335,9000,4375,4200.0,2015-11-16
3450,4750,4650,5000.0,3800.0,73,4335,9000,4375,4200.0,2015-11-23
3450,4750,4650,5000.0,3800.0,72,4335,9000,4375,4200.0,2015-11-30
3450,4750,4650,5000.0,3800.0,74,4335,9000,4375,4200.0,2015-12-07
3450,4750,4650,5000.0,3800.0,75,4335,9000,4375,4200.0,2015-12-14
3450,4750,4650,5000.0,3800.0,75,4335,9000,4375,4200.0,2015-12-21
3450,4750,4650,5000.0,3800.0,76,4335,9000,4375,4200.0,2015-12-28
3450,4750,4650,5000.0,3800.0,76,4335,9000,4375,4200.0,2016-01-04
3450,4700,4650,5000.0,3800.0,77,4335,9000,4325,4200.0,2016-01-11
3450,4700,4650,5000.0,3800.0,77,4322,9000,4325,4200.0,2016-01-18
3450,4700,4650,5000.0,3800.0,75,4322,9000,4325,4200.0,2016-01-25
3450,4700,4650,5000.0,3800.0,75,4322,9000,4325,4200.0,2016-02-01
3450,4700,4650,5000.0,3800.0,74,4322,8650,4325,4200.0,2016-02-08
3450,4700,4650,5000.0,3800.0,73,4322,8650,4325,4200.0,2016-02-15
3450,4700,4650,5000.0,3800.0,74,4322,8650,4325,4200.0,2016-02-22
3450,4700,4650,5000.0,3800.0,76,4322,8650,4325,4200.0,2016-02-29
3450,4700,4650,5000.0,3800.0,79,4322,8650,4325,4200.0,2016-03-07
3450,4700,4650,5000.0,3800.0,79,4322,8650,4325,4200.0,2016-03-14
3450,4700,4650,5000.0,3800.0,80,4322,8650,4325,4200.0,2016-03-21
