iron_concentrate_ukraine_dollar_tonn_ship_dap,iron_pellets_russia_east_dollar_tonn_dap,iron_concentrate_weighted_average_percent_russia_rub_tonn_ship_fca,iron_pellets_weighted_average_percent_russia_rub_tonn_ship_fca,iron_concentrate_russia_rub_tonn_ship_fca,iron_china_ship_cfr,iron_concentrate_russia_east_dollar_tonn_ship_dap,iron_itally_dollar_tonn_ship_cfr,iron_pellets_ukraine_dollar_tonn_ship_dap,iron_pellets_weighted_average_russia_rub_tonn_ship_fca,iron_concentrate_weighted_average_russia_rub_tonn_ship_fca,iron_pellets_russia_rub_tonn_ship_fca,iron_agloruda_weighted_average_percent_russia_rub_tonn_ship_fca,iron_agloruda_weighted_average_percent_russia_rub_tonn_ship_fca,iron_agloruda_russia_rub_tonn_ship_fca,iron_russia_rub_tonn_ship_fca,dt
,70.0,,,2275.0,62,51.0,,,,,3450.0,,,1325.0,,2015-02-09
,70.0,,,2275.0,63,51.0,,,,,3450.0,,,1325.0,,2015-02-16
,72.0,,,2275.0,64,53.0,,,,,3450.0,,,1325.0,,2015-02-23
,72.0,,,2275.0,63,53.0,,,3540.0,2097.0,3450.0,1261.0,23.0,1325.0,,2015-03-02
,70.0,,,2425.0,61,51.0,,,3540.0,2097.0,3500.0,1261.0,23.0,1345.0,,2015-03-09
,67.0,,,2425.0,58,48.0,,,3540.0,2097.0,3500.0,1261.0,23.0,1345.0,,2015-03-16
,65.0,,,2425.0,56,46.0,,,3540.0,2097.0,3500.0,1261.0,23.0,1345.0,,2015-03-23
,63.5,,,2425.0,55,44.5,,,3601.0,2322.0,3500.0,1267.0,23.0,1345.0,,2015-03-30
,58.0,,,2175.0,50,39.0,,,3601.0,2322.0,3200.0,1267.0,23.0,1250.0,,2015-04-06
,57.5,,,2175.0,48,38.5,,,3601.0,2322.0,3200.0,1267.0,23.0,1250.0,,2015-04-13
,58.5,,,2175.0,50,39.5,,,3601.0,2322.0,3200.0,1267.0,23.0,1250.0,,2015-04-20
,61.0,,,2175.0,54,42.0,,,3601.0,2322.0,3200.0,1267.0,23.0,1250.0,,2015-04-27
,62.5,,,2175.0,58,43.5,,,3376.0,2192.0,3200.0,1051.0,23.0,1250.0,,2015-05-04
,64.0,,,1750.0,60,45.0,,,3376.0,2192.0,2600.0,1051.0,23.0,1250.0,,2015-05-11
,65.0,,,1750.0,62,46.0,,,3376.0,2192.0,2600.0,1051.0,23.0,1250.0,,2015-05-18
,64.0,,,1750.0,59,45.0,,,2594.0,2192.0,2600.0,1051.0,23.0,1250.0,,2015-05-25
