dt,base_byers_price_index,key_rate,dollar_rate
2016-01-31,,,
2016-02-29,,,
2016-03-31,,,
2016-04-30,,,
2016-05-31,,,
2016-06-30,,,
2016-07-31,,,
2016-08-31,,,
2016-09-30,,,
2016-10-31,,,
2016-11-30,,,
2016-12-31,,,
2018-01-09,,7.75,
2018-01-10,,7.75,57.0463
2018-01-11,,7.75,56.8734
2018-01-12,,7.75,56.9957
2018-01-13,,,56.6019
2018-01-15,,7.75,
2018-01-16,,7.75,56.3569
2018-01-17,,7.75,56.3878
2018-01-18,,7.75,56.5925
2018-01-19,,7.75,56.7597
2018-01-20,,,56.5892
2018-01-22,,7.75,
2018-01-23,,7.75,56.6261
2018-01-24,,7.75,56.4115
2018-01-25,,7.75,56.3888
2018-01-26,,7.75,55.9288
2018-01-27,,,55.8288
2018-01-29,,7.75,
2018-01-30,,7.75,56.2908
2018-01-31,,7.75,56.2914
2018-02-01,,7.75,56.184
2018-02-02,,7.75,56.2613
2018-02-03,,,56.0408
2018-02-05,,7.75,
2018-02-06,,7.75,56.6278
2018-02-07,,7.75,57.2196
2018-02-08,,7.75,56.9533
2018-02-09,,7.75,57.6736
2018-02-10,,,58.1718
2018-02-12,,7.5,
2018-02-13,,7.5,58.0171
2018-02-14,,7.5,57.7701
2018-02-15,,7.5,57.5899
2018-02-16,,7.5,56.5918
2018-02-17,,,56.3554
2018-02-19,,7.5,
2018-02-20,,7.5,56.3438
2018-02-21,,7.5,56.5201
2018-02-22,,7.5,56.6537
2018-02-23,,,56.7608
2018-02-26,,7.5,
2018-02-27,,7.5,55.9208
2018-02-28,,7.5,55.6717
2018-03-01,,7.5,56.3742
2018-03-02,,7.5,56.4334
2018-03-03,,,56.6616
2018-03-05,,7.5,
2018-03-06,,7.5,57.1
2018-03-07,,7.5,56.5041
2018-03-08,,,56.8011
2018-03-12,,7.5,
2018-03-13,,7.5,56.6122
2018-03-14,,7.5,56.9359
2018-03-15,,7.5,56.9372
2018-03-16,,7.5,57.0188
2018-03-17,,,57.4942
2018-03-19,,7.5,
2018-03-20,,7.5,57.5521
