scrap_3a_siberia_rub_tonn_train_cpt,scrap_hms_turkey_dollar_tonn_ship_cfr,scrap_3a_russia_moscow_rub_tonn_train_fca,scrap_3a_russia_ural_rub_tonn_ship_cpt,scrap_3a_south_rub_tonn_train_cpt,scrap_3a_russia_south_rub_tonn_auto_cpt,scrap_hms_rotterdam_dollar_tonn_ship_fob,scrap_3a_russia_central_rub_tonn_ship_fca,scrap_3a_russia_central_rub_tonn_ship_fca,scrap_3a_russia_ural_rub_tonn_auto_cpt,scrap_3a_russia_siberia_rub_tonn_train_fca,scrap_hms_usa_dollar_tonn_ship_fob,scrap_3a_central_rub_tonn_train_cpt,scrap_3a_russia_tatar_rub_tonn_fca,scrap_3a_russia_south_dollar_tonn_ship_fob,scrap_3a_russia_ural_rub_tonn_ship_fca,scrap_3a_russia_ural_rub_tonn_ship_fca,scrap_3a_russia_siberia_rub_tonn_ship_fca,scrap_3a_russia_north_rub_tonn_ship_fca,scrap_3a_russia_central_rub_tonn_auto_cpt,scrap_hms_uva_dollar_tonn_ship_cfr,scrap_b26_alloyed_russia_rub_tonn_ship_cpt,dt
10009,246,11870,11598,12344,,228,,,,,221,12728,11573,221,,,,,,248,,2015-02-09
10432,243,12088,11794,12271,,206,,,,,221,12852,11746,213,,,,,,248,,2015-02-16
11981,241,12503,12047,12645,,207,,,,,215,13034,11930,208,,,,,,248,,2015-02-23
11912,249,12439,12253,12696,,214,,,,,224,12910,12100,215,,,,,,248,,2015-03-02
12061,257,12020,12183,12916,,232,,,,,229,12964,11774,221,,,,,,248,,2015-03-09
11893,256,12093,12140,12883,,229,,,,,231,12812,11733,223,,,,,,248,,2015-03-16
11945,254,11763,12139,12753,,230,,,,,230,12694,11540,220,,,,,,253,,2015-03-23
11853,256,11719,12113,12521,,231,,,,,233,12569,11579,221,,,,,,254,,2015-03-30
11785,262,11250,12369,12395,,235,,,,,236,12421,11378,229,,,,,,258,,2015-04-06
11327,263,11327,12324,12220,,238,,,,,236,12146,11056,229,,,,,,258,,2015-04-13
11050,267,10555,12109,11830,,245,,,,,241,11716,10613,238,,,,,,258,,2015-04-20
11091,274,10066,11705,11083,,250,,,,,248,11035,10456,243,,,,,,258,,2015-04-27
